Parent Letter Sent Home?,Parent Phone Call?,Fall Reading,Winter Reading,Reading Growth,Fall Language,Winter Language,Language Growth
,,,,,,,
FALSE,FALSE,86,93,7,85,88,3
FALSE,FALSE,94,76,-18,86,78,-8
FALSE,FALSE,28,46,-18,36,11,-25
FALSE,FALSE,97,86,-11,95,95,0
FALSE,FALSE,41,3,-38,7,4,-3
FALSE,FALSE,87,76,-11,72,71,-1
FALSE,FALSE,48,66,18,31,45,14
FALSE,FALSE,32,28,-4,25,23,-2
TRUE,FALSE,67,80,13,85,76,-9
TRUE,FALSE,90,96,6,72,87,15
FALSE,FALSE,148,156,8,153,158,5
FALSE,FALSE,198,209,11,203,208,5